client,nr_visits,continuity,cci,bice_cci
H015,88,61,0.0225,0.0112
H025,84,63,0.0204,0.0086
H026,241,117,0.0187,0.0146
H027,6,6,0.1667,0.0000
H029,117,72,0.0210,0.0125
H031,6,6,0.1667,0.0000
H034,84,64,0.0198,0.0080
H035,240,114,0.0182,0.0141
H037,84,57,0.0232,0.0115
H038,100,66,0.0238,0.0139
H039,86,47,0.0327,0.0213
H041,128,79,0.0183,0.0106
H047,60,46,0.0317,0.0153
H048,60,43,0.0406,0.0243
H053,77,58,0.0207,0.0079
H055,186,113,0.0141,0.0088
H061,1,1,1.0000,
H072,100,66,0.0206,0.0107
H077,25,23,0.0464,0.0067
H081,64,48,0.0283,0.0129
H086,190,107,0.0150,0.0098
H087,3,3,0.3333,0.0000
H092,76,51,0.0298,0.0168
H095,165,104,0.0146,0.0086
H096,70,49,0.0257,0.0116
H097,167,89,0.0189,0.0130
H107,44,38,0.0300,0.0074
H113,8,8,0.1250,0.0000
H114,56,40,0.0344,0.0169
H125,66,53,0.0239,0.0089
H145,165,103,0.0161,0.0101
H154,152,95,0.0184,0.0119
H155,31,22,0.0593,0.0280
H157,98,73,0.0169,0.0067
H160,4,4,0.2500,0.0000
H164,1,1,1.0000,
H172,116,67,0.0245,0.0160
H181,31,26,0.0447,0.0129
H182,193,117,0.0135,0.0084
H194,4,4,0.2500,0.0000
H200,68,51,0.0242,0.0097
H230,31,27,0.0406,0.0086
H235,44,33,0.0372,0.0148
H238,168,77,0.0234,0.0175
H239,56,41,0.0306,0.0130
H240,2,2,0.5000,0.0000
H243,66,50,0.0248,0.0098
H244,112,70,0.0295,0.0208
H248,184,101,0.0167,0.0113
H269,20,18,0.0650,0.0158
H270,93,59,0.0228,0.0122
H284,108,63,0.0274,0.0183
H287,2,2,0.5000,0.0000
H288,18,17,0.0617,0.0065
H289,10,10,0.1000,0.0000
H290,180,112,0.0131,0.0076
H293,114,70,0.0219,0.0132
H295,8,8,0.1250,0.0000
H297,2,2,0.5000,0.0000
H299,20,19,0.0550,0.0053
H300,119,67,0.0293,0.0211
H301,128,78,0.0183,0.0106
H302,78,48,0.0296,0.0170
H312,2,2,0.5000,0.0000
H314,58,40,0.0309,0.0139
H315,120,72,0.0235,0.0153
H322,138,84,0.0192,0.0121
H323,193,101,0.0177,0.0126
H324,94,69,0.0190,0.0085
H326,4,4,0.2500,0.0000
H327,108,73,0.0183,0.0092
H328,4,4,0.2500,0.0000
H331,102,71,0.0196,0.0099
H332,165,88,0.0194,0.0135
H333,6,6,0.1667,0.0000
H334,39,31,0.0388,0.0135
H335,12,10,0.1111,0.0303
H337,124,64,0.0285,0.0206
H339,1,1,1.0000,
H341,1,1,1.0000,
H342,1,1,1.0000,
H346,3,3,0.3333,0.0000
H349,88,64,0.0199,0.0086
H351,151,91,0.0230,0.0165
H354,120,78,0.0214,0.0132
H355,10,10,0.1000,0.0000
H357,4,4,0.2500,0.0000
H358,6,6,0.1667,0.0000
H360,88,62,0.0207,0.0094
H361,2,2,0.5000,0.0000
H362,73,47,0.0317,0.0183
H363,180,95,0.0185,0.0130
H364,2,2,0.5000,0.0000
H365,176,110,0.0132,0.0075
H366,38,34,0.0319,0.0057
H367,60,43,0.0328,0.0164
H369,132,83,0.0189,0.0115
HN01_r637_1,1,1,1.0000,
HN01_r637_2,1,1,1.0000,
HN02_r638_1,1,1,1.0000,
HN03_r639_1,1,1,1.0000,
HN03_r639_2,1,1,1.0000,
HN04_r640_1,1,1,1.0000,
HN04_r640_2,1,1,1.0000,
HN05_r641_1,1,1,1.0000,
HN07_r642_1,1,1,1.0000,
HN07_r642_2,1,1,1.0000,
HN08_r643_1,1,1,1.0000,
HN12_r644_1,1,1,1.0000,
HN12_r644_2,1,1,1.0000,
HN13_r645_1,1,1,1.0000,
HN13_r645_10,1,1,1.0000,
HN13_r645_11,1,1,1.0000,
HN13_r645_12,1,1,1.0000,
HN13_r645_13,1,1,1.0000,
HN13_r645_14,1,1,1.0000,
HN13_r645_15,1,1,1.0000,
HN13_r645_16,1,1,1.0000,
HN13_r645_17,1,1,1.0000,
HN13_r645_18,1,1,1.0000,
HN13_r645_19,1,1,1.0000,
HN13_r645_2,1,1,1.0000,
HN13_r645_20,1,1,1.0000,
HN13_r645_3,1,1,1.0000,
HN13_r645_4,1,1,1.0000,
HN13_r645_5,1,1,1.0000,
HN13_r645_6,1,1,1.0000,
HN13_r645_7,1,1,1.0000,
HN13_r645_8,1,1,1.0000,
HN13_r645_9,1,1,1.0000,
HN13_r646_1,1,1,1.0000,
HN13_r646_2,1,1,1.0000,
HN13_r646_3,1,1,1.0000,
HN13_r646_4,1,1,1.0000,
HN13_r646_5,1,1,1.0000,
HN13_r646_6,1,1,1.0000,
HN13_r646_7,1,1,1.0000,
HN13_r646_8,1,1,1.0000,
HN13_r647_1,1,1,1.0000,
HN13_r647_2,1,1,1.0000,
HN13_r647_3,1,1,1.0000,
HN13_r647_4,1,1,1.0000,
HN13_r648_1,1,1,1.0000,
HN13_r649_1,1,1,1.0000,
HN13_r649_2,1,1,1.0000,
HN13_r649_3,1,1,1.0000,
HN13_r649_4,1,1,1.0000,
HN13_r649_5,1,1,1.0000,
HN13_r649_6,1,1,1.0000,
HN13_r649_7,1,1,1.0000,
HN13_r649_8,1,1,1.0000,
HN13_r650_1,1,1,1.0000,
HN13_r650_10,1,1,1.0000,
HN13_r650_11,1,1,1.0000,
HN13_r650_12,1,1,1.0000,
HN13_r650_13,1,1,1.0000,
HN13_r650_14,1,1,1.0000,
HN13_r650_15,1,1,1.0000,
HN13_r650_16,1,1,1.0000,
