client,nr_visits,continuity,cci,bice_cci
HN13_r650_17,1,1,1.0000,
HN13_r650_18,1,1,1.0000,
HN13_r650_19,1,1,1.0000,
HN13_r650_2,1,1,1.0000,
HN13_r650_20,1,1,1.0000,
HN13_r650_3,1,1,1.0000,
HN13_r650_4,1,1,1.0000,
HN13_r650_5,1,1,1.0000,
HN13_r650_6,1,1,1.0000,
HN13_r650_7,1,1,1.0000,
HN13_r650_8,1,1,1.0000,
HN13_r650_9,1,1,1.0000,
HN13_r651_1,1,1,1.0000,
HN13_r651_2,1,1,1.0000,
HN13_r651_3,1,1,1.0000,
HN13_r651_4,1,1,1.0000,
HN13_r652_1,1,1,1.0000,
HN13_r652_2,1,1,1.0000,
HN13_r653_1,1,1,1.0000,
HN13_r653_10,1,1,1.0000,
HN13_r653_11,1,1,1.0000,
HN13_r653_12,1,1,1.0000,
HN13_r653_13,1,1,1.0000,
HN13_r653_14,1,1,1.0000,
HN13_r653_15,1,1,1.0000,
HN13_r653_16,1,1,1.0000,
HN13_r653_17,1,1,1.0000,
HN13_r653_18,1,1,1.0000,
HN13_r653_19,1,1,1.0000,
HN13_r653_2,1,1,1.0000,
HN13_r653_20,1,1,1.0000,
HN13_r653_21,1,1,1.0000,
HN13_r653_22,1,1,1.0000,
HN13_r653_23,1,1,1.0000,
HN13_r653_24,1,1,1.0000,
HN13_r653_25,1,1,1.0000,
HN13_r653_26,1,1,1.0000,
HN13_r653_27,1,1,1.0000,
HN13_r653_28,1,1,1.0000,
HN13_r653_3,1,1,1.0000,
HN13_r653_4,1,1,1.0000,
HN13_r653_5,1,1,1.0000,
HN13_r653_6,1,1,1.0000,
HN13_r653_7,1,1,1.0000,
HN13_r653_8,1,1,1.0000,
HN13_r653_9,1,1,1.0000,
HN13_r654_1,1,1,1.0000,
HN13_r654_10,1,1,1.0000,
HN13_r654_11,1,1,1.0000,
HN13_r654_12,1,1,1.0000,
HN13_r654_13,1,1,1.0000,
HN13_r654_14,1,1,1.0000,
HN13_r654_15,1,1,1.0000,
HN13_r654_16,1,1,1.0000,
HN13_r654_17,1,1,1.0000,
HN13_r654_18,1,1,1.0000,
HN13_r654_19,1,1,1.0000,
HN13_r654_2,1,1,1.0000,
HN13_r654_20,1,1,1.0000,
HN13_r654_21,1,1,1.0000,
HN13_r654_22,1,1,1.0000,
HN13_r654_23,1,1,1.0000,
HN13_r654_24,1,1,1.0000,
HN13_r654_25,1,1,1.0000,
HN13_r654_26,1,1,1.0000,
HN13_r654_27,1,1,1.0000,
HN13_r654_28,1,1,1.0000,
HN13_r654_3,1,1,1.0000,
HN13_r654_4,1,1,1.0000,
HN13_r654_5,1,1,1.0000,
HN13_r654_6,1,1,1.0000,
HN13_r654_7,1,1,1.0000,
HN13_r654_8,1,1,1.0000,
HN13_r654_9,1,1,1.0000,
HN15_r655_1,1,1,1.0000,
HN15_r655_2,1,1,1.0000,
HN16_r656_1,1,1,1.0000,
HN16_r656_2,1,1,1.0000,
HN17_r657_1,1,1,1.0000,
HN17_r657_2,1,1,1.0000,
HN19_r658_1,1,1,1.0000,
HN19_r658_2,1,1,1.0000,
HN20_r659_1,1,1,1.0000,
HN20_r659_2,1,1,1.0000,
HN22_r660_1,1,1,1.0000,
HN23_r661_1,1,1,1.0000,
HN23_r661_2,1,1,1.0000,
HN24_r662_1,1,1,1.0000,
HN24_r662_2,1,1,1.0000,
HN25_r663_1,1,1,1.0000,
HN25_r663_2,1,1,1.0000,
